index,date,title,production budget,domestric budget,worldwide gross
73,"Apr 26, 2013",The Reluctant Fundamentalist,"$15,000,000","$528,731","$528,731"
74,"Apr 26, 2013",Mud,"$10,000,000","$21,590,086","$31,556,959"
75,"May 3, 2013",The Iceman,"$10,000,000","$1,930,282","$3,623,609"
76,"May 3, 2013","Cinco de Mayo, La Batalla","$10,000,000","$173,472","$173,472"
77,"May 3, 2013",Aroused,"$150,000",$0,$0
78,"May 10, 2013",The Great Gatsby,"$190,000,000","$144,840,419","$353,497,733"
79,"May 10, 2013",Peeples,"$11,000,000","$9,177,065","$9,307,166"
80,"May 14, 2013",Black Rock,"$1,000,000",$0,$0
81,"May 16, 2013",Star Trek Into Darkness,"$190,000,000","$228,778,661","$467,381,584"
82,"May 17, 2013",Fast and Furious 6,"$160,000,000","$238,679,850","$789,300,444"
83,"May 17, 2013",Frances Ha,"$3,000,000","$4,067,398","$11,216,237"
84,"May 22, 2013",Before Midnight,"$3,000,000","$8,110,621","$23,241,189"
85,"May 23, 2013",The Hangover 3,"$103,000,000","$112,200,072","$362,000,072"
86,"May 24, 2013",Epic,"$100,000,000","$107,518,682","$262,794,441"
87,"May 31, 2013",After Earth,"$130,000,000","$60,522,097","$251,499,665"
88,"May 31, 2013",Now You See Me,"$75,000,000","$117,723,989","$342,769,200"
89,"May 31, 2013",Yeh Jawaani Hai Deewani,"$8,300,000","$3,827,466","$50,827,466"
90,"May 31, 2013",The East,"$6,500,000","$2,274,649","$3,027,956"
91,"Jun 7, 2013",The Internship,"$58,000,000","$44,672,764","$93,672,764"
92,"Jun 7, 2013",The Purge,"$3,000,000","$64,473,115","$91,266,581"
93,"Jun 12, 2013",This is the End,"$32,000,000","$101,470,202","$126,539,117"
94,"Jun 14, 2013",Man of Steel,"$225,000,000","$291,045,518","$667,999,518"
95,"Jun 14, 2013",20 Feet From Stardom,"$1,000,000","$4,946,250","$5,892,466"
96,"Jun 19, 2013",World War Z,"$190,000,000","$202,706,711","$531,861,650"
97,"Jun 21, 2013",Monsters University,"$200,000,000","$268,488,329","$743,455,810"
98,"Jun 21, 2013",L’attentat,"$3,750,000","$1,625,707","$3,237,975"
99,"Jun 21, 2013",Alien Uprising,"$2,500,000",$0,$0
100,"Jun 21, 2013",This Is Martin Bonner,"$42,000",$0,$0
101,"Jun 25, 2013",Hansel & Gretel Get Baked,"$4,500,000",$0,$0
102,"Jun 26, 2013",Despicable Me 2,"$76,000,000","$368,065,385","$975,216,835"
103,"Jun 28, 2013",White House Down,"$150,000,000","$73,103,784","$205,440,387"
104,"Jun 28, 2013",The Heat,"$43,000,000","$159,581,587","$229,727,774"
105,"Jun 28, 2013",Redemption,"$23,000,000","$36,686","$13,593,473"
106,"Jun 28, 2013",Detention of the Dead,"$500,000","$1,778","$1,778"
107,"Jul 2, 2013",The Lone Ranger,"$225,000,000","$89,302,115","$260,002,115"
108,"Jul 3, 2013",Kevin Hart: Let Me Explain,"$2,500,000","$32,244,051","$32,327,255"
109,"Jul 5, 2013",The Way Way Back,"$5,000,000","$21,502,690","$26,853,810"
110,"Jul 9, 2013",Coffee Town,"$2,000,000",$0,$0
111,"Jul 11, 2013",Pacific Rim,"$190,000,000","$101,802,906","$411,002,906"
112,"Jul 12, 2013",Grown Ups 2,"$80,000,000","$133,668,525","$247,023,808"
113,"Jul 12, 2013",Fruitvale Station,"$900,000","$16,098,998","$17,549,645"
114,"Jul 16, 2013",Teen Beach Movie,"$8,000,000",$0,$0
115,"Jul 17, 2013",Turbo,"$135,000,000","$83,028,130","$286,896,578"
116,"Jul 18, 2013",Metegol,"$22,000,000",$0,"$34,061,097"
117,"Jul 18, 2013",The Conjuring,"$20,000,000","$137,400,141","$316,479,150"
118,"Jul 19, 2013",R.I.P.D.,"$130,000,000","$33,618,855","$79,076,678"
119,"Jul 19, 2013",RED 2,"$84,000,000","$53,262,560","$141,507,355"
120,"Jul 19, 2013",The World's End,"$20,000,000","$26,004,851","$47,124,638"
121,"Jul 19, 2013",Only God Forgives,"$4,800,000","$775,849","$4,494,560"
122,"Jul 26, 2013",The Wolverine,"$115,000,000","$132,556,852","$416,456,852"
123,"Jul 26, 2013",Blue Jasmine,"$18,000,000","$33,404,871","$102,912,961"
124,"Jul 26, 2013",Stranded,"$1,900,000",$0,"$285,593"
125,"Jul 26, 2013",The To Do List,"$1,500,000","$3,491,669","$4,128,828"
126,"Jul 31, 2013",The Smurfs 2,"$110,000,000","$71,017,784","$348,547,523"
127,"Aug 1, 2013",Snowpiercer,"$40,000,000","$4,563,029","$82,825,956"
128,"Aug 2, 2013",2 Guns,"$61,000,000","$75,612,460","$132,493,015"
129,"Aug 2, 2013",The Spectacular Now,"$2,500,000","$6,852,971","$6,916,951"
130,"Aug 2, 2013",The Canyons,"$250,000","$59,671","$62,375"
131,"Aug 7, 2013",Percy Jackson: Sea of Monsters,"$90,000,000","$68,559,554","$200,859,554"
132,"Aug 7, 2013",We’re the Millers,"$37,000,000","$150,394,119","$267,816,276"
133,"Aug 7, 2013",Midnight Cabaret,"$300,000",$0,$0
134,"Aug 9, 2013",Elysium,"$120,000,000","$93,050,117","$286,192,091"
135,"Aug 9, 2013",Disney Planes,"$50,000,000","$90,282,580","$238,059,569"
136,"Aug 16, 2013",Paranoia,"$40,000,000","$7,388,654","$16,340,767"
137,"Aug 16, 2013",Lee Daniels' The Butler,"$30,000,000","$116,632,095","$177,025,498"
138,"Aug 16, 2013",Kick-Ass 2,"$28,000,000","$28,795,985","$63,129,909"
139,"Aug 16, 2013",Jobs,"$18,000,000","$16,131,410","$43,402,515"
140,"Aug 16, 2013",Ain't Them Bodies Saints,"$5,000,000","$391,611","$1,075,009"
141,"Aug 16, 2013",Underdogs,"$2,500,000","$35,017","$1,392,649"
142,"Aug 21, 2013",The Mortal Instruments: City of Bones,"$60,000,000","$31,165,421","$75,965,567"
143,"Aug 23, 2013",The Frozen Ground,"$19,200,000",$0,"$5,617,460"
144,"Aug 23, 2013",You're Next,"$1,000,000","$18,494,006","$26,887,177"
145,"Aug 23, 2013",Drinking Buddies,"$500,000","$343,706","$407,100"
146,"Aug 23, 2013",Short Term 12,"$400,000","$1,013,100","$2,308,535"
147,"Aug 23, 2013",Sparrows Dance,"$175,000","$2,602","$2,602"
148,"Aug 30, 2013",Getaway,"$18,000,000","$10,501,938","$11,813,989"
149,"Aug 30, 2013",One Direction: This is Us,"$10,000,000","$28,873,374","$68,233,799"
150,"Aug 30, 2013",No se Aceptan Devoluciones,"$5,000,000","$44,467,206","$100,486,616"
151,"Sep 4, 2013",About Time,"$12,000,000","$15,323,921","$84,429,086"
152,"Sep 5, 2013",Riddick,"$38,000,000","$42,025,135","$94,763,758"
153,"Sep 6, 2013",Winnie Mandela,"$15,000,000","$61,847","$61,847"
154,"Sep 13, 2013",Rush,"$38,000,000","$26,947,624","$98,159,204"
155,"Sep 13, 2013",The Family,"$30,000,000","$36,918,811","$80,588,942"
156,"Sep 13, 2013",Insidious Chapter 2,"$5,000,000","$83,586,447","$161,921,515"
157,"Sep 13, 2013",Plush,"$2,000,000","$3,080","$28,864"
158,"Sep 18, 2013",Enough Said,"$8,000,000","$17,550,872","$25,621,449"
159,"Sep 19, 2013",Prisoners,"$46,000,000","$61,002,302","$113,310,547"
