index,date,title,production budget,domestric budget,worldwide gross
326,"Jun 10, 2014",Echo Dr.,"$100,000",$0,$0
327,"Jun 13, 2014",The Signal,"$4,000,000","$600,896","$2,665,322"
328,"Jun 13, 2014",Los insolitos peces gato,"$1,300,000","$11,278","$54,665"
329,"Jun 17, 2014",Beneath Hill 60,"$9,000,000",$0,"$3,440,939"
330,"Jun 18, 2014",Jersey Boys,"$40,000,000","$47,047,013","$65,282,732"
331,"Jun 18, 2014",Think Like a Man Too,"$24,000,000","$65,028,687","$70,027,933"
332,"Jun 19, 2014",Plastic,"$10,000,000",$0,"$575,371"
333,"Jun 19, 2014",Z Storm,"$7,000,000",$0,"$2,053,330"
334,"Jun 19, 2014",The Past is a Grotesque Animal,"$100,000","$20,056","$20,056"
335,"Jun 20, 2014",Red Sky,"$25,000,000",$0,"$91,116"
336,"Jun 24, 2014",A Fine Step,"$1,000,000",$0,$0
337,"Jun 25, 2014",Transformers: Age of Extinction,"$210,000,000","$245,439,076","$1,104,054,072"
338,"Jun 25, 2014",La chambre bleue,"$1,400,000","$260,441","$1,945,420"
339,"Jun 27, 2014",Begin Again,"$8,000,000","$16,170,632","$67,731,796"
340,"Jun 27, 2014",They Came Together,"$3,000,000",$0,"$82,780"
341,"Jul 1, 2014",Mutual Friends,"$450,000",$0,$0
342,"Jul 2, 2014",Deliver Us from Evil,"$30,000,000","$30,577,122","$87,956,618"
343,"Jul 2, 2014",Tammy,"$20,000,000","$84,525,432","$96,407,655"
344,"Jul 2, 2014",Earth to Echo,"$13,000,000","$38,934,842","$42,174,545"
345,"Jul 3, 2014",United Passions,"$30,000,000",$918,"$168,832"
346,"Jul 3, 2014",Desert Dancer,"$4,000,000","$155,271","$596,335"
347,"Jul 9, 2014",Dawn of the Planet of the Apes,"$170,000,000","$208,545,589","$710,644,566"
348,"Jul 10, 2014",And So It Goes,"$18,000,000","$15,160,801","$17,920,013"
349,"Jul 11, 2014",The Perfect Wave,"$4,000,000",$0,$0
350,"Jul 11, 2014",As It Is in Heaven,"$450,000","$13,486","$13,486"
351,"Jul 16, 2014",Sex Tape,"$40,000,000","$38,543,473","$126,069,509"
352,"Jul 16, 2014",The Purge: Anarchy,"$9,000,000","$71,562,550","$111,534,881"
353,"Jul 17, 2014",Planes: Fire and Rescue,"$50,000,000","$59,157,732","$156,399,644"
354,"Jul 18, 2014",Wish I Was Here,"$6,000,000","$3,591,299","$6,591,365"
355,"Jul 18, 2014",I Origins,"$1,000,000","$336,472","$852,399"
356,"Jul 18, 2014",An American in Hollywood,"$125,000",$0,$0
357,"Jul 23, 2014",Hercules,"$100,000,000","$72,688,614","$243,388,614"
358,"Jul 25, 2014",Lucy,"$40,000,000","$126,573,960","$457,507,776"
359,"Jul 25, 2014",A Most Wanted Man,"$15,000,000","$17,237,855","$36,068,890"
360,"Jul 25, 2014",The Salvation,"$14,000,000","$43,318","$2,947,737"
361,"Jul 25, 2014",Barbecue,"$10,000,000",$388,"$247,565"
362,"Jul 25, 2014",Happy Christmas,"$70,000","$30,312","$30,312"
363,"Jul 31, 2014",Guardians of the Galaxy,"$170,000,000","$333,714,112","$770,882,395"
364,"Aug 1, 2014",Get on Up,"$30,000,000","$30,569,935","$33,339,868"
365,"Aug 8, 2014",Teenage Mutant Ninja Turtles,"$125,000,000","$191,204,754","$485,004,754"
366,"Aug 8, 2014",Into the Storm,"$50,000,000","$47,602,194","$150,429,371"
367,"Aug 8, 2014",The Hundred-Foot Journey,"$22,000,000","$54,235,441","$94,270,488"
368,"Aug 8, 2014",What If,"$11,000,000","$3,493,000","$9,814,566"
369,"Aug 8, 2014",The Maid's Room,"$600,000",$0,$0
370,"Aug 12, 2014",Swelter,"$8,000,000",$0,"$44,197"
371,"Aug 12, 2014",Jesse,"$950,000",$0,$0
372,"Aug 13, 2014",Let’s Be Cops,"$17,000,000","$82,390,774","$136,890,774"
373,"Aug 14, 2014",The Expendables 3,"$100,000,000","$39,322,544","$209,461,378"
374,"Aug 15, 2014",The Giver,"$25,000,000","$45,090,374","$66,540,205"
375,"Aug 15, 2014",Fort McCoy,"$3,000,000","$78,948","$78,948"
376,"Aug 15, 2014",Life After Beth,"$2,400,000","$80,315","$334,491"
377,"Aug 15, 2014",Nightlights,"$250,000","$21,147","$21,147"
378,"Aug 18, 2014",Henry & Me,"$5,000,000",$0,$0
379,"Aug 21, 2014","Guten Tag, Ramon","$4,000,000","$154,356","$4,854,356"
380,"Aug 22, 2014",Sin City: A Dame to Kill For,"$65,000,000","$13,757,804","$40,650,842"
381,"Aug 22, 2014",The Prince,"$18,000,000",$0,$0
382,"Aug 22, 2014",When the Game Stands Tall,"$15,000,000","$30,127,963","$30,138,912"
383,"Aug 22, 2014",Freedom,"$14,500,000",$0,"$872,757"
384,"Aug 22, 2014",If I Stay,"$11,000,000","$50,474,843","$78,356,170"
385,"Aug 22, 2014",The Possession of Michael King,"$1,300,000",$0,"$2,736,371"
386,"Aug 26, 2014",Sanctuary; Quite a Conundrum,"$200,000",$0,$0
387,"Aug 27, 2014",The November Man,"$15,000,000","$25,018,119","$34,820,335"
388,"Aug 29, 2014",Dwegons and Leprechauns,"$20,000,000",$0,$0
389,"Aug 29, 2014","As Above, So Below","$5,000,000","$21,222,315","$41,824,066"
390,"Sep 4, 2014",Falcon Rising,"$4,500,000","$11,774","$11,774"
391,"Sep 5, 2014",Frontera,"$2,300,000","$59,696","$59,696"
392,"Sep 10, 2014",My Old Lady,"$5,000,000","$4,011,530","$15,220,308"
393,"Sep 10, 2014",Born to Fly: Elizabeth Streb vs. Gravity,"$500,000","$1,822","$1,822"
394,"Sep 11, 2014",The Maze Runner,"$34,000,000","$102,427,862","$348,319,861"
395,"Sep 12, 2014",Dolphin Tale 2,"$36,000,000","$42,024,533","$57,824,533"
396,"Sep 12, 2014",No Good Deed,"$13,200,000","$52,543,632","$54,323,210"
397,"Sep 12, 2014",The Drop,"$12,600,000","$10,724,389","$19,054,534"
398,"Sep 12, 2014",Atlas Shrugged: Who Is John Galt?,"$5,000,000","$851,690","$851,690"
399,"Sep 12, 2014",The Skeleton Twins,"$1,000,000","$5,284,309","$5,797,192"
400,"Sep 12, 2014",Faith Connections,"$550,000","$9,111","$9,111"
401,"Sep 12, 2014",Archaeology of a Woman,"$200,000",$0,$0
402,"Sep 19, 2014",The Boxtrolls,"$60,000,000","$50,837,305","$111,898,741"
403,"Sep 19, 2014",A Walk Among the Tombstones,"$28,000,000","$26,017,685","$62,108,587"
404,"Sep 19, 2014",This is Where I Leave You,"$20,000,000","$34,296,320","$41,296,320"
405,"Sep 19, 2014",Tusk,"$3,000,000","$1,821,983","$1,887,554"
406,"Sep 19, 2014",Pump,"$2,000,000","$89,787","$89,787"
407,"Sep 19, 2014",Not Cool,"$800,000","$35,688","$35,688"
408,"Sep 26, 2014",The Equalizer,"$55,000,000","$101,530,738","$192,903,624"
409,"Sep 26, 2014",Jimi: All is By My Side,"$5,000,000","$340,911","$927,074"
410,"Sep 26, 2014",Two Night Stand,"$1,600,000","$15,600","$868,081"
411,"Oct 1, 2014",Dracula Untold,"$70,000,000","$55,991,880","$220,241,723"
412,"Oct 1, 2014","Men, Women and Children","$16,000,000","$705,908","$1,685,403"
413,"Oct 2, 2014",Gone Girl,"$61,000,000","$167,767,189","$367,160,781"
414,"Oct 2, 2014",Annabelle,"$6,500,000","$84,273,813","$256,857,527"
415,"Oct 3, 2014",Left Behind,"$16,000,000","$14,019,924","$20,769,209"
416,"Oct 3, 2014",Drive Hard,"$12,000,000",$0,$0
417,"Oct 7, 2014",Alpha & Omega: The Legend of the Saw Tooth Cave,"$7,000,000",$0,$0
418,"Oct 7, 2014",Doc Holliday’s Revenge,"$1,000,000",$0,$0
419,"Oct 10, 2014",The Judge,"$50,000,000","$47,119,388","$76,073,556"
420,"Oct 10, 2014","Alexander and the Terrible, Horrible, No Good, …","$28,000,000","$66,954,149","$101,379,287"
421,"Oct 10, 2014",Autómata,"$15,000,000",$0,"$6,775,458"
422,"Oct 10, 2014",St. Vincent,"$13,000,000","$44,137,712","$54,837,234"
423,"Oct 10, 2014",Son of a Gun,"$12,000,000","$1,411","$256,003"
424,"Oct 10, 2014",Addicted,"$5,000,000","$17,390,770","$17,499,242"
425,"Oct 10, 2014",Kill the Messenger,"$5,000,000","$2,450,846","$6,656,705"
426,"Oct 10, 2014",Whiplash,"$3,300,000","$13,092,006","$39,248,707"
427,"Oct 10, 2014",Meet the Mormons,"$2,000,000","$6,047,363","$6,049,171"
428,"Oct 10, 2014","Christian Mingle, The Movie","$650,000","$19,836","$28,176"
429,"Oct 17, 2014",Fury,"$80,000,000","$85,817,906","$210,315,681"
430,"Oct 17, 2014",The Book of Life,"$50,000,000","$50,151,543","$97,651,543"
431,"Oct 17, 2014",The Best of Me,"$26,000,000","$26,766,213","$41,059,418"
432,"Oct 17, 2014",Birdman or (The Unexpected Virtue of Ignorance),"$18,000,000","$42,340,598","$102,926,247"
433,"Oct 17, 2014",Rudderless,"$5,000,000","$56,001","$584,499"
434,"Oct 17, 2014",Housebound,"$1,500,000",$0,"$236,863"
435,"Oct 17, 2014",Dear White People,"$1,250,000","$4,404,154","$5,403,771"
436,"Oct 17, 2014",Camp X-Ray,"$1,000,000","$9,837","$101,053"
437,"Oct 24, 2014",John Wick,"$30,000,000","$43,037,835","$87,790,603"
438,"Oct 24, 2014",Ouija,"$5,000,000","$50,856,010","$103,300,632"
439,"Oct 24, 2014",Revenge of the Green Dragons,"$5,000,000","$2,500","$213,164"
440,"Oct 24, 2014",23 Blast,"$1,000,000","$549,185","$549,185"
441,"Oct 25, 2014",Big Hero 6,"$165,000,000","$222,527,828","$647,263,005"
442,"Oct 31, 2014",Before I Go to Sleep,"$22,000,000","$3,242,457","$19,563,579"
443,"Oct 31, 2014",Mr. Turner,"$14,000,000","$3,958,546","$25,187,026"
444,"Oct 31, 2014",Nightcrawler,"$8,500,000","$32,381,218","$50,334,418"
445,"Nov 5, 2014",Interstellar,"$165,000,000","$188,017,894","$647,051,282"
446,"Nov 7, 2014",The Theory of Everything,"$15,000,000","$35,893,537","$123,327,692"
447,"Nov 7, 2014",Elsa & Fred,"$10,000,000","$67,657","$197,901"
448,"Nov 7, 2014",Jessabelle,"$10,000,000",$0,"$6,998,359"
449,"Nov 11, 2014",Once Upon a Time in Queens,"$1,500,000",$0,$0
450,"Nov 13, 2014",Dumb and Dumber To,"$40,000,000","$86,208,010","$156,553,592"
451,"Nov 13, 2014",Mommy,"$4,900,000","$3,498,695","$17,536,004"
452,"Nov 14, 2014",Foxcatcher,"$24,000,000","$12,096,300","$19,303,058"
453,"Nov 14, 2014",Wolves,"$18,000,000",$0,"$94,953"
454,"Nov 14, 2014",The Imitation Game,"$15,000,000","$91,125,143","$227,328,585"
455,"Nov 14, 2014",Rosewater,"$10,000,000","$3,128,941","$3,185,717"
456,"Nov 14, 2014",Beyond the Lights,"$7,000,000","$14,618,727","$14,618,727"
457,"Nov 14, 2014",Always Woodstock,"$2,400,000",$0,$0
458,"Nov 15, 2014",Copenhagen,"$600,000",$0,$0
459,"Nov 19, 2014",The Hunger Games: Mockingjay - Part 1,"$125,000,000","$337,135,885","$766,575,131"
460,"Nov 20, 2014",Rise Of the Entrepreneur: The Search For A Bett…,"$450,000",$0,$0
461,"Nov 21, 2014",Reach Me,"$5,000,000",$0,$0
462,"Nov 21, 2014",The Sleepwalker (2014),"$1,100,000","$2,636","$53,240"
463,"Nov 21, 2014",Food Chains,"$913,000",$0,$176
464,"Nov 26, 2014",Penguins of Madagascar,"$132,000,000","$83,350,911","$366,942,531"
465,"Nov 26, 2014",Horrible Bosses 2,"$40,000,000","$54,445,357","$105,945,357"
466,"Nov 28, 2014",Paddington,"$55,000,000","$76,223,578","$252,410,984"
467,"Nov 28, 2014",Mortadelo y Filemón contra Jimmy el Cachondo,"$12,500,000",$0,"$3,350,943"
468,"Nov 28, 2014",Antarctica: A Year on Ice,"$1,000,000","$288,757","$288,757"
469,"Dec 2, 2014",40 Weeks,"$900,000",$0,$0
470,"Dec 2, 2014",Speak No Evil,"$150,000",$0,"$247,345"
471,"Dec 3, 2014",Wild,"$15,000,000","$37,880,356","$52,460,543"
472,"Dec 5, 2014",Exodus: Gods and Kings,"$140,000,000","$65,014,513","$268,314,513"
473,"Dec 5, 2014",Dying of the Light,"$5,000,000",$0,"$74,639"
474,"Dec 10, 2014",The Hobbit: The Battle of the Five Armies,"$250,000,000","$255,119,788","$940,323,039"
475,"Dec 10, 2014",The Gambler,"$25,000,000","$33,680,992","$38,718,031"
476,"Dec 11, 2014",Timbuktu,"$2,500,000","$1,076,075","$6,815,821"
477,"Dec 12, 2014",Inherent Vice,"$20,000,000","$8,110,975","$14,740,343"
478,"Dec 12, 2014",Top Five,"$12,000,000","$25,317,379","$26,001,741"
479,"Dec 12, 2014",Miss Julie,"$5,500,000",$0,"$863,895"
480,"Dec 17, 2014",La famille Bélier,"$11,000,000",$0,"$82,438,670"
481,"Dec 18, 2014",Night at the Museum: Secret of the Tomb,"$127,000,000","$113,746,621","$353,756,621"
482,"Dec 18, 2014",Annie,"$65,000,000","$85,911,262","$139,829,625"
483,"Dec 19, 2014",Seventh Son,"$95,000,000","$17,725,785","$108,874,967"
484,"Dec 25, 2014",Unbroken,"$65,000,000","$115,637,895","$163,527,824"
485,"Dec 25, 2014",American Sniper,"$58,000,000","$350,126,372","$547,326,372"
486,"Dec 25, 2014",Into the Woods,"$56,200,000","$128,002,372","$212,416,317"
487,"Dec 25, 2014",Big Eyes,"$10,000,000","$14,482,031","$27,317,872"
488,"Dec 26, 2014",The Water Diviner,"$22,500,000","$4,200,117","$31,054,727"
489,"Dec 26, 2014",Suffragette,"$14,000,000","$4,702,420","$37,888,043"
490,"Dec 31, 2014",A Most Violent Year,"$20,000,000","$5,749,134","$8,869,722"
491,"Jan 2, 2015",Taken 3,"$48,000,000","$89,256,424","$327,656,424"
492,"Jan 2, 2015",Babysitting,"$3,400,000",$0,"$24,564,100"
493,"Jan 9, 2015",Selma,"$20,000,000","$52,076,908","$66,670,998"
494,"Jan 9, 2015",Black November,"$7,500,000","$5,782","$38,354"
495,"Jan 9, 2015",Let's Kill Ward's Wife,"$5,000,000",$0,$0
496,"Jan 9, 2015",Vessel,"$800,000",$0,$0
497,"Jan 13, 2015",Da Sweet Blood of Jesus,"$1,250,000",$0,$0
498,"Jan 16, 2015",Blackhat,"$70,000,000","$8,005,980","$19,665,004"
499,"Jan 16, 2015",Wild Card,"$30,000,000","$3,200","$4,315,789"
500,"Jan 16, 2015",The Wedding Ringer,"$23,000,000","$64,460,211","$80,171,596"
501,"Jan 16, 2015",Escobar: Paradise Lost,"$17,000,000","$195,792","$3,917,679"
502,"Jan 16, 2015",Testament of Youth,"$10,000,000","$1,822,250","$6,646,669"
503,"Jan 16, 2015",Loin des hommes,"$7,700,000","$5,336","$1,136,918"
504,"Jan 16, 2015",Still Alice,"$5,000,000","$18,656,400","$41,598,366"
505,"Jan 20, 2015",The Opposite Sex,"$3,300,000",$0,"$84,369"
506,"Jan 21, 2015",Mortdecai,"$60,000,000","$7,696,134","$37,360,909"
507,"Jan 21, 2015",Ex Machina,"$13,000,000","$25,440,971","$38,261,299"
508,"Jan 22, 2015",The Boy Next Door,"$4,000,000","$36,006,065","$53,401,938"
509,"Jan 23, 2015",American Heist,"$10,000,000",$0,"$2,341,218"
510,"Jan 23, 2015",Aloft,"$8,000,000","$53,086","$531,139"
511,"Jan 23, 2015",Song One,"$6,000,000","$32,251","$437,089"
512,"Jan 23, 2015",R100,"$5,500,000","$24,956","$24,956"
513,"Jan 27, 2015",Born of War,"$5,000,000",$0,$671
514,"Jan 28, 2015",The SpongeBob Movie: Sponge Out of Water,"$74,000,000","$162,994,032","$311,013,181"
515,"Jan 29, 2015",Kingsman: The Secret Service,"$94,000,000","$128,261,724","$404,561,724"
516,"Jan 30, 2015",Project Almanac,"$12,000,000","$22,348,241","$32,909,437"
517,"Jan 30, 2015",Black or White,"$9,000,000","$21,571,189","$21,971,021"
518,"Jan 30, 2015",Trudno byt bogom,"$7,000,000","$31,443","$41,038"
519,"Jan 30, 2015",Above and Beyond,"$1,300,000","$288,751","$288,751"
520,"Feb 3, 2015",Bleeding Hearts,"$1,200,000",$0,$0
521,"Feb 3, 2015",UnDivided,"$250,000",$0,$0
522,"Feb 6, 2015",Jupiter Ascending,"$179,000,000","$47,482,519","$181,982,519"
523,"Feb 6, 2015",Shaun the Sheep,"$25,000,000","$19,375,982","$101,850,986"
524,"Feb 6, 2015","Mune, le gardien de la lune","$17,000,000",$0,"$14,534,046"
525,"Feb 6, 2015",Enter the Dangerous Mind,"$3,000,000",$0,$0
526,"Feb 6, 2015",It Follows,"$2,000,000","$14,674,077","$23,236,296"
527,"Feb 10, 2015",Fear Clinic,"$1,000,000",$0,$0
528,"Feb 10, 2015",Love in the Time of Monsters,"$500,000",$0,$0
529,"Feb 11, 2015",Fifty Shades of Grey,"$40,000,000","$166,167,230","$570,794,950"
530,"Feb 13, 2015",The Last Five Years,"$2,000,000","$147,299","$205,298"
531,"Feb 13, 2015",Girlhouse,"$1,500,000",$0,$0
532,"Feb 13, 2015",Hits,"$1,000,000","$15,156","$15,156"
533,"Feb 17, 2015",AWOL-72,"$3,000,000",$0,$0
534,"Feb 18, 2015",Tian jiang xiong shi,"$65,000,000","$74,070","$122,519,874"
535,"Feb 19, 2015",The Gunman,"$40,000,000","$10,664,749","$24,478,613"
536,"Feb 20, 2015","McFarland, USA","$17,000,000","$44,480,275","$45,707,924"
537,"Feb 20, 2015",Hot Tub Time Machine 2,"$14,000,000","$12,314,651","$12,826,644"
538,"Feb 20, 2015",The DUFF,"$8,500,000","$34,030,343","$43,528,634"
539,"Feb 21, 2015",Trash,"$12,000,000","$17,484","$6,553,186"
540,"Feb 24, 2015",Green Street Hooligans: Underground,"$8,000,000",$0,$0
541,"Feb 24, 2015",Irreplaceable,"$600,000",$0,$0
542,"Feb 24, 2015",Give Me Shelter,"$250,000",$0,$0
543,"Feb 26, 2015",Focus,"$65,000,000","$53,862,963","$168,065,700"
544,"Feb 26, 2015",The Second Best Exotic Marigold Hotel,"$10,000,000","$33,078,266","$89,400,862"
545,"Feb 26, 2015",The Lazarus Effect,"$5,000,000","$25,801,570","$38,359,310"
546,"Feb 27, 2015",Butterfly Girl,"$180,000","$17,503","$17,503"
547,"Mar 3, 2015",To Write Love On Her Arms,"$3,400,000",$0,$0
548,"Mar 3, 2015",Ask Me Anything,"$950,000",$0,$0
549,"Mar 4, 2015",Chappie,"$49,000,000","$31,569,268","$105,002,056"
550,"Mar 5, 2015",Unfinished Business,"$35,000,000","$10,219,501","$13,214,051"
551,"Mar 6, 2015",Cinderella,"$95,000,000","$201,151,353","$542,351,353"
552,"Mar 6, 2015",Road Hard,"$1,500,000","$113,169","$113,169"
553,"Mar 10, 2015",Jungle Shuffle,"$10,000,000",$0,"$360,898"
554,"Mar 10, 2015",Treading Water,"$4,700,000",$0,$0
555,"Mar 10, 2015",The Pet,"$1,000,000",$0,$0
556,"Mar 10, 2015",Subconscious,"$500,000",$0,$0
557,"Mar 10, 2015",Teeth and Blood,"$300,000",$0,$0
558,"Mar 11, 2015",Run All Night,"$50,000,000","$26,461,644","$71,561,644"
559,"Mar 13, 2015",The Lovers,"$35,000,000",$0,"$53,899"
560,"Mar 13, 2015",Hross i oss,"$10,000,000","$11,894","$11,894"
561,"Mar 13, 2015",Não Pare na Pista: A Melhor História de Paulo C…,"$5,400,000","$8,808","$735,324"
562,"Mar 13, 2015",Walter,"$700,000",$0,$0
563,"Mar 15, 2015",Robot Overlords,"$21,000,000",$0,"$991,329"
564,"Mar 17, 2015",Accidental Love,"$26,000,000",$0,"$135,436"
565,"Mar 17, 2015",Something Wicked,"$3,000,000",$0,$0
566,"Mar 17, 2015",Closure,"$100,000",$0,$0
567,"Mar 18, 2015",The Divergent Series: Insurgent,"$110,000,000","$130,179,072","$295,075,882"
568,"Mar 19, 2015",Home,"$130,000,000","$177,397,510","$385,997,896"
569,"Mar 19, 2015",Demonic,"$3,000,000",$0,"$4,668,109"
570,"Mar 20, 2015",Danny Collins,"$10,000,000","$5,637,066","$9,271,825"
571,"Mar 20, 2015",Do You Believe?,"$2,300,000","$12,985,600","$14,628,921"
572,"Mar 20, 2015",The Walking Deceased,"$2,000,000",$0,$43
573,"Mar 25, 2015",Open Secret,"$100,000",$0,$0
574,"Mar 26, 2015",Get Hard,"$40,000,000","$90,411,453","$111,711,453"
575,"Mar 27, 2015",While We're Young,"$10,000,000","$7,582,065","$17,503,828"
576,"Apr 1, 2015",Furious 7,"$190,000,000","$353,007,020","$1,511,986,364"
577,"Apr 1, 2015",Woman in Gold,"$11,000,000","$33,307,793","$58,586,407"
578,"Apr 6, 2015",Beyond the Mask,"$4,000,000","$1,236,094","$1,236,094"
579,"Apr 7, 2015",Lost River,"$2,000,000","$45,431","$2,009,644"
580,"Apr 9, 2015",The Longest Ride,"$34,000,000","$37,446,117","$63,802,928"
581,"Apr 10, 2015",Pourquoi j'ai pas mangé mon père,"$42,000,000",$0,"$15,451,663"
582,"Apr 10, 2015",Dragon Nest Warriors' Dawn,"$40,000,000",$0,"$734,423"
583,"Apr 10, 2015",Paul Blart: Mall Cop 2,"$38,000,000","$71,091,594","$107,453,907"
584,"Apr 10, 2015",Broken Horses,"$15,000,000",$0,"$3,471"
585,"Apr 10, 2015",Dark Places,"$11,900,000","$208,588","$5,685,597"
586,"Apr 10, 2015",The Sisterhood of Night,"$1,000,000","$6,870","$6,870"
587,"Apr 14, 2015",Roadside,"$500,000",$0,$0
588,"Apr 16, 2015",The Age of Adaline,"$30,000,000","$42,629,776","$68,984,536"
589,"Apr 17, 2015",Child 44,"$50,000,000","$1,224,330","$8,004,221"
590,"Apr 17, 2015",Unfriended,"$1,000,000","$32,789,645","$64,364,198"
591,"Apr 17, 2015",Antarctic Edge: 70º South,"$150,000","$7,193","$7,193"
592,"Apr 21, 2015",The Marine 4,"$1,950,000",$0,$0
593,"Apr 21, 2015",Ten,"$25,000",$0,$0
594,"Apr 21, 2015",The Front Man,"$20,000",$0,$0
595,"Apr 22, 2015",Avengers: Age of Ultron,"$365,000,000","$459,005,868","$1,395,316,979"
596,"Apr 24, 2015",The Face of an Angel,"$26,000,000",$0,$0
597,"Apr 24, 2015",Yi ge ren de wu lin,"$25,000,000","$129,115","$129,115"
598,"Apr 24, 2015",Little Boy,"$20,000,000","$6,485,961","$17,769,299"
599,"Apr 24, 2015",Brotherly Love,"$1,900,000","$478,595","$478,595"
600,"May 1, 2015",Far from the Madding Crowd,"$15,495,600","$12,236,500","$29,721,410"
601,"May 5, 2015",Le bonheur d'Elza,"$900,000",$0,$0
602,"May 7, 2015",Pitch Perfect 2,"$29,000,000","$184,296,230","$287,215,196"
603,"May 8, 2015",Hot Pursuit,"$35,000,000","$34,580,201","$50,732,472"
604,"May 8, 2015",Barely Lethal,"$15,000,000","$4,912","$513,303"
605,"May 8, 2015",Skin Trade,"$9,000,000","$1,242","$1,242"
606,"May 8, 2015",Maggie,"$4,500,000","$187,112","$1,027,760"
607,"May 8, 2015",The D Train,"$3,000,000","$669,688","$816,494"
608,"May 14, 2015",Mad Max: Fury Road,"$150,000,000","$153,636,354","$369,873,869"
609,"May 15, 2015",Pound of Flesh,"$7,500,000",$0,$0
610,"May 15, 2015",Area 51,"$5,000,000","$7,556","$7,556"
611,"May 15, 2015",Slow West,"$3,750,000","$229,094","$2,089,072"
612,"May 15, 2015",Childless,"$1,000,000","$1,036","$1,036"
613,"May 19, 2015",Grizzly,"$10,000,000",$0,$0
614,"May 19, 2015",Family Motocross,"$10,000",$0,$0
615,"May 20, 2015",Tomorrowland,"$170,000,000","$93,436,322","$206,627,518"
616,"May 20, 2015",Poltergeist,"$35,000,000","$47,425,125","$95,691,732"
617,"May 21, 2015",Spy!,"$65,000,000","$110,825,712","$233,844,106"
618,"May 22, 2015",Youth,"$13,000,000","$2,703,296","$24,001,573"
619,"May 22, 2015",Drunk Wedding,"$600,000","$3,301","$3,301"
620,"May 26, 2015",Mutant World,"$1,500,000",$0,$0
621,"May 27, 2015",San Andreas,"$110,000,000","$155,190,832","$456,258,539"
622,"May 27, 2015",Aloha,"$37,000,000","$21,052,030","$25,387,091"
623,"May 29, 2015",Survivor,"$20,000,000",$0,"$1,703,281"
624,"May 29, 2015",The True Cost,"$500,000",$0,"$230,362"
625,"Jun 3, 2015",Entourage,"$30,000,000","$32,363,404","$46,438,538"
626,"Jun 4, 2015",Insidious Chapter 3,"$10,000,000","$52,218,558","$120,453,155"
627,"Jun 4, 2015",Que Horas Ela Volta?,"$1,200,000","$376,976","$3,249,041"
628,"Jun 5, 2015",Manglehorn,"$4,000,000","$132,270","$797,439"
629,"Jun 5, 2015",Dawn Patrol,"$3,500,000",$0,$0
630,"Jun 8, 2015",Self/Less,"$26,000,000","$12,279,691","$33,667,319"
631,"Jun 9, 2015",Jurassic World,"$215,000,000","$652,306,625","$1,669,963,641"
632,"Jun 11, 2015",Strangerland,"$10,000,000","$17,472","$161,097"
633,"Jun 11, 2015",Saul fia,"$1,700,000","$1,777,043","$9,696,537"
634,"Jun 12, 2015",Inside Out,"$175,000,000","$356,461,711","$850,566,343"
635,"Jun 12, 2015",Me and Earl and the Dying Girl,"$8,000,000","$6,758,416","$9,266,180"
636,"Jun 17, 2015",Minions,"$74,000,000","$336,045,770","$1,157,271,759"
637,"Jun 19, 2015",Dope,"$7,000,000","$17,506,470","$18,190,831"
638,"Jun 19, 2015",Mustang,"$1,400,000","$845,464","$5,552,584"
639,"Jun 19, 2015",The Overnight,"$200,000","$1,109,808","$1,165,996"
640,"Jun 23, 2015",Crossroads,"$500,000",$0,$0
641,"Jun 24, 2015",Terminator: Genisys,"$155,000,000","$89,760,956","$432,150,894"
642,"Jun 25, 2015",Ted 2,"$68,000,000","$81,476,385","$217,214,143"
643,"Jun 25, 2015",Max,"$20,000,000","$42,656,255","$43,658,157"
644,"Jun 25, 2015",Sardaar Ji,"$2,700,000",$0,"$8,200,000"
645,"Jun 26, 2015",Knock Knock,"$2,000,000","$36,336","$6,328,516"
646,"Jun 26, 2015",The Algerian,"$1,300,000",$0,$0
647,"Jun 30, 2015",Viy,"$26,000,000",$0,"$34,246,770"
648,"Jul 1, 2015",Magic Mike XXL,"$14,500,000","$66,013,057","$123,580,421"
649,"Jul 3, 2015",Kirikou Et Les Hommes Et Les Femmes,"$7,500,000",$0,$17
650,"Jul 3, 2015",Stung,"$2,500,000",$0,$0
651,"Jul 7, 2015",Tiger Orange,"$100,000",$0,$0
652,"Jul 9, 2015",Baahubali: The Beginning,"$40,000,000","$6,738,000","$26,736,665"
653,"Jul 9, 2015",The Young and Prodigious T.S. Spivet,"$33,000,000","$176,847","$357,687"
654,"Jul 9, 2015",Paper Towns,"$12,000,000","$32,000,304","$85,450,484"
655,"Jul 9, 2015",The Gallows,"$100,000","$22,764,410","$41,656,474"
656,"Jul 12, 2015",Zhuo yao ji,"$56,000,000","$32,766","$359,295,591"
657,"Jul 14, 2015",Ant-Man,"$130,000,000","$180,202,163","$518,858,449"
658,"Jul 15, 2015",4/11,"$250,000",$0,$0
659,"Jul 16, 2015",Pixels,"$90,000,000","$78,765,986","$244,041,804"
660,"Jul 16, 2015",Bajrangi Bhaijaan,"$13,000,000","$8,178,001","$121,778,347"
661,"Jul 17, 2015",Trainwreck,"$35,000,000","$110,212,700","$141,123,897"
662,"Jul 17, 2015",Dawn of the Crescent Moon,"$75,000","$8,799","$8,799"
663,"Jul 17, 2015",Exeter,"$25,000",$0,"$489,792"
664,"Jul 22, 2015",Southpaw,"$30,000,000","$52,421,953","$94,156,456"
